Event,ParticleID,px,py,pz,E,vx,vy,vz
1,2112,1.4420419815920741e-02,-5.5298127129257239e-02,4.9105958680595299e+00,5.0000000000000000e+00,0,0,0
2,2112,1.9803822100715334e-02,3.5675186544382891e-02,4.9107588721571558e+00,5.0000000000000000e+00,0,0,0
3,2112,2.7499144767789856e-02,-3.2404984098870694e-02,4.9107444776548483e+00,5.0000000000000000e+00,0,0,0
4,2112,4.8752646436542021e-02,-3.8177468226183682e-02,4.9105379818468231e+00,5.0000000000000000e+00,0,0,0
5,2112,1.6905921050710100e-02,-9.6292566625881273e-02,4.9099551466608151e+00,5.0000000000000000e+00,0,0,0
6,2112,-6.7561393404137193e-02,5.5670211939440530e-02,4.9101480523909773e+00,5.0000000000000000e+00,0,0,0
7,2112,1.8844743773941151e-02,-2.4454164030295246e-02,4.9108313430893418e+00,5.0000000000000000e+00,0,0,0
8,2112,-3.9207138240898991e-02,6.6524398735452975e-02,4.9103212639764049e+00,5.0000000000000000e+00,0,0,0
9,2112,2.6052594344654730e-02,3.5610382446647201e-02,4.9107301670693451e+00,5.0000000000000000e+00,0,0,0
10,2112,3.2823339046327817e-02,-1.4144912542363901e-02,4.9107983221303249e+00,5.0000000000000000e+00,0,0,0
11,2112,-3.5546121849183418e-02,-2.1597031651502493e-02,4.9107522491182882e+00,5.0000000000000000e+00,0,0,0
12,2112,-2.5759669803994214e-02,3.6350408173495594e-02,4.9107262902764406e+00,5.0000000000000000e+00,0,0,0
13,2112,-3.4512403562013065e-02,-7.9526346647837878e-02,4.9101631403614503e+00,5.0000000000000000e+00,0,0,0
14,2112,-2.7171290801915129e-02,6.8594189347858034e-03,4.9108484277264184e+00,5.0000000000000000e+00,0,0,0
15,2112,5.5159531163285272e-02,7.5547420198424350e-02,4.9100374361300148e+00,5.0000000000000000e+00,0,0,0
16,2112,-5.8231367439618473e-02,2.3308056411358750e-02,4.9105278181807943e+00,5.0000000000000000e+00,0,0,0
17,2112,9.4084154764229586e-02,-2.6217545070334875e-02,4.9099570693568984e+00,5.0000000000000000e+00,0,0,0
18,2112,-1.3597171665590137e-02,-9.3506147492567415e-02,4.9100192798072388e+00,5.0000000000000000e+00,0,0,0
19,2112,4.5608739787805178e-02,2.8650499789979411e-02,4.9106330144383374e+00,5.0000000000000000e+00,0,0,0
20,2112,1.5097034071932606e-02,6.5262652536942023e-02,4.9104715126473417e+00,5.0000000000000000e+00,0,0,0
21,2112,7.3126359627522872e-03,8.2168677127296016e-02,4.9102354775132140e+00,5.0000000000000000e+00,0,0,0
22,2112,9.3878039315059489e-02,-1.8101944757026984e-03,4.9100306768599031e+00,5.0000000000000000e+00,0,0,0
23,2112,4.5935723567134046e-02,-7.8309913420510691e-02,4.9100891109566875e+00,5.0000000000000000e+00,0,0,0
24,2112,-4.3268193189727203e-02,6.7965604329343926e-02,4.9102674215220947e+00,5.0000000000000000e+00,0,0,0
25,2112,-3.1112425450831160e-03,5.3733242179254126e-02,4.9106334285537674e+00,5.0000000000000000e+00,0,0,0
26,2112,6.9047713601124744e-02,1.7966268977702128e-02,4.9104100884957127e+00,5.0000000000000000e+00,0,0,0
27,2112,3.9243627735555980e-02,1.6994167891594657e-02,4.9107421788070713e+00,5.0000000000000000e+00,0,0,0
28,2112,-3.4016733299559588e-03,4.2588345821924799e-02,4.9107425377628688e+00,5.0000000000000000e+00,0,0,0
29,2112,-6.8601497111948115e-02,5.3055731193854892e-02,4.9101625772225184e+00,5.0000000000000000e+00,0,0,0
30,2112,7.5373504159720536e-02,-5.1487821047709742e-02,4.9100799840663942e+00,5.0000000000000000e+00,0,0,0
31,2112,-2.8483151328454241e-02,7.7293952092875637e-02,4.9102374653203142e+00,5.0000000000000000e+00,0,0,0
32,2112,-3.1427278562386869e-02,-1.3905628792779229e-02,4.9108081382217570e+00,5.0000000000000000e+00,0,0,0
33,2112,5.6079718799335607e-03,6.7534655436913116e-02,4.9104607962737479e+00,5.0000000000000000e+00,0,0,0
34,2112,5.1488612598263546e-02,3.8363499025845078e-02,4.9105086065997474e+00,5.0000000000000000e+00,0,0,0
35,2112,-3.3470934764785285e-02,-5.9262554545475568e-03,4.9108107463836621e+00,5.0000000000000000e+00,0,0,0
36,2112,-4.0381828823293893e-02,2.7961723209471084e-02,4.9106827489373659e+00,5.0000000000000000e+00,0,0,0
