Event,ParticleID,px,py,pz,E,vx,vy,vz
1,22,2.9363938308532907e-02,-1.1260218595080076e-01,9.9993229024192480e+00,1.0000000000000000e+01,0,0,0
2,22,4.0326025029905545e-02,7.2644485403823580e-02,9.9996548235649456e+00,1.0000000000000000e+01,0,0,0
3,22,5.5995817098702071e-02,-6.5985454384461920e-02,9.9996255124018081e+00,1.0000000000000000e+01,0,0,0
4,22,9.9273788184711803e-02,-7.7739818679339517e-02,9.9992050301797075e+00,1.0000000000000000e+01,0,0,0
5,22,3.4425101981698625e-02,-1.9607813240298064e-01,9.9980182175442600e+00,1.0000000000000000e+01,0,0,0
6,22,-1.3757356673952956e-01,1.1335985289470636e-01,9.9984110266324944e+00,1.0000000000000000e+01,0,0,0
7,22,3.8373077946537298e-02,-4.9795399380783242e-02,9.9998023943020691e+00,1.0000000000000000e+01,0,0,0
8,22,-7.9836509842024367e-02,1.3546196056812654e-01,9.9987637330289623e+00,1.0000000000000000e+01,0,0,0
9,22,5.3050242841687287e-02,7.2512526448928930e-02,9.9995963721163488e+00,1.0000000000000000e+01,0,0,0
10,22,6.6837340045560217e-02,-2.8802929774277650e-02,9.9997351545534467e+00,1.0000000000000000e+01,0,0,0
11,22,-7.2381674209973115e-02,-4.3977492552747841e-02,9.9996413372374189e+00,1.0000000000000000e+01,0,0,0
12,22,-5.2453767964339100e-02,7.4019422230556062e-02,9.9995884779004278e+00,1.0000000000000000e+01,0,0,0
13,22,-7.0276739651870965e-02,-1.6193750020314590e-01,9.9984417498874230e+00,1.0000000000000000e+01,0,0,0
14,22,-5.5328216310996527e-02,1.3967662315285531e-02,9.9998371833190021e+00,1.0000000000000000e+01,0,0,0
15,22,1.1231996646991443e-01,1.5383531231359668e-01,9.9981857815214443e+00,1.0000000000000000e+01,0,0,0
16,22,-1.1857506944636008e-01,4.7461609252132816e-02,9.9991843341621109e+00,1.0000000000000000e+01,0,0,0
17,22,1.9158119885366898e-01,-5.3386127857147934e-02,9.9980221326819532e+00,1.0000000000000000e+01,0,0,0
18,22,-2.7687578798372685e-02,-1.9040421717881975e-01,9.9981488102578666e+00,1.0000000000000000e+01,0,0,0
19,22,9.2871930120956084e-02,5.8340292382664867e-02,9.9993985426564684e+00,1.0000000000000000e+01,0,0,0
20,22,3.0741710906406313e-02,1.3289269850730931e-01,9.9990696806199928e+00,1.0000000000000000e+01,0,0,0
21,22,1.4890536754411888e-02,1.6731801132418159e-01,9.9985890482108370e+00,1.0000000000000000e+01,0,0,0
