Event,ParticleID,px,py,pz,E,vx,vy,vz
1,211,1.4676248007561529e-02,-5.6279154037293694e-02,4.9977132250325509e+00,5.0000000000000000e+00,0,0,0
2,211,2.0155155561202277e-02,3.6308088954756616e-02,4.9978791209352744e+00,5.0000000000000000e+00,0,0,0
3,211,2.7986998558970393e-02,-3.2979870862778211e-02,4.9978644710645703e+00,5.0000000000000000e+00,0,0,0
4,211,4.9617552003423882e-02,-3.8854762839128677e-02,4.9976543118785139e+00,5.0000000000000000e+00,0,0,0
5,211,1.7205843748220619e-02,-9.8000863159741686e-02,4.9970611367943913e+00,5.0000000000000000e+00,0,0,0
6,211,-6.8759979112455474e-02,5.6657839888593770e-02,4.9972574648052310e+00,5.0000000000000000e+00,0,0,0
7,211,1.9179062523545013e-02,-2.4887997763419347e-02,4.9979528775517723e+00,5.0000000000000000e+00,0,0,0
8,211,-3.9902699909950108e-02,6.7704587443252751e-02,4.9974337492836289e+00,5.0000000000000000e+00,0,0,0
9,211,2.6514785333809267e-02,3.6242135187639163e-02,4.9978499065994111e+00,5.0000000000000000e+00,0,0,0
10,211,3.3405647715494563e-02,-1.4395853044986086e-02,4.9979192707781719e+00,5.0000000000000000e+00,0,0,0
11,211,-3.6176734562863216e-02,-2.1980177885990951e-02,4.9978723803991301e+00,5.0000000000000000e+00,0,0,0
12,211,-2.6216664109801037e-02,3.6995289481192538e-02,4.9978459610295269e+00,5.0000000000000000e+00,0,0,0
13,211,-3.5124677400441756e-02,-8.0937198877552644e-02,4.9972728204467050e+00,5.0000000000000000e+00,0,0,0
14,211,-2.7653328237657850e-02,6.9811097568418601e-03,4.9979702652820919e+00,5.0000000000000000e+00,0,0,0
15,211,5.6138099283311677e-02,7.6887683529118220e-02,4.9971448861355201e+00,5.0000000000000000e+00,0,0,0
16,211,-5.9264432053479497e-02,2.3721557404984207e-02,4.9976439679020412e+00,5.0000000000000000e+00,0,0,0
17,211,9.5753272548776427e-02,-2.6682662399110536e-02,4.9970630936004294e+00,5.0000000000000000e+00,0,0,0
18,211,-1.3838394867344421e-02,-9.5165011029529775e-02,4.9971264077070581e+00,5.0000000000000000e+00,0,0,0
19,211,4.6417870282747326e-02,2.9158779413210836e-02,4.9977510304137347e+00,5.0000000000000000e+00,0,0,0
20,211,1.5364865867058141e-02,6.6420456997098851e-02,4.9975866634695967e+00,5.0000000000000000e+00,0,0,0
21,211,7.4423671674161695e-03,8.3626406121828048e-02,4.9973464409094239e+00,5.0000000000000000e+00,0,0,0
22,211,9.5543500469403922e-02,-1.8423085739847670e-03,4.9971380069512961e+00,5.0000000000000000e+00,0,0,0
23,211,4.6750654979804622e-02,-7.9699185285938473e-02,4.9971974777092525e+00,5.0000000000000000e+00,0,0,0
24,211,-4.4035800774013430e-02,6.9171361018213195e-02,4.9973789516270504e+00,5.0000000000000000e+00,0,0,0
25,211,-3.1664381332993305e-03,5.4686506949156208e-02,4.9977514518758577e+00,5.0000000000000000e+00,0,0,0
26,211,7.0272667654681806e-02,1.8285002978637596e-02,4.9975241496111620e+00,5.0000000000000000e+00,0,0,0
