Event,ParticleID,px,py,pz,E,vx,vy,vz
1,2212,1.4421145698197397e-02,-5.5300910677234881e-02,4.9108430532700815e+00,5.0000000000000000e+00,0,0,0
2,2212,1.9804818967911746e-02,3.5676982330217114e-02,4.9110060655728631e+00,5.0000000000000000e+00,0,0,0
3,2212,2.7500528995299520e-02,-3.2406615272160579e-02,4.9109916703459779e+00,5.0000000000000000e+00,0,0,0
4,2212,4.8755100503929803e-02,-3.8179389969649320e-02,4.9107851641435500e+00,5.0000000000000000e+00,0,0,0
5,2212,1.6906772045938941e-02,-9.6297413715520808e-02,4.9102022996193027e+00,5.0000000000000000e+00,0,0,0
6,2212,-6.7564794249513699e-02,5.5673014217092670e-02,4.9103952150597818e+00,5.0000000000000000e+00,0,0,0
7,2212,1.8845692363905122e-02,-2.4455394982270753e-02,4.9110785401530261e+00,5.0000000000000000e+00,0,0,0
8,2212,-3.9209111814978714e-02,6.6527747381513472e-02,4.9105684353641808e+00,5.0000000000000000e+00,0,0,0
9,2212,2.6053905756994809e-02,3.5612174970430351e-02,4.9109773590401211e+00,5.0000000000000000e+00,0,0,0
10,2212,3.2824991278397241e-02,-1.4145624556400274e-02,4.9110455175318304e+00,5.0000000000000000e+00,0,0,0
11,2212,-3.5547911138273720e-02,-2.1598118783687573e-02,4.9109994422006107e+00,5.0000000000000000e+00,0,0,0
12,2212,-2.5760966471359101e-02,3.6352237948036083e-02,4.9109734820520696e+00,5.0000000000000000e+00,0,0,0
13,2212,-3.4514140816710934e-02,-7.9530349774397005e-02,4.9104103037897397e+00,5.0000000000000000e+00,0,0,0
14,2212,-2.7172658526203240e-02,6.8597642181198867e-03,4.9110956256500939e+00,5.0000000000000000e+00,0,0,0
15,2212,5.5162307734742365e-02,7.5551223037320106e-02,4.9102845932307169e+00,5.0000000000000000e+00,0,0,0
16,2212,-5.8234298638439971e-02,2.3309229671587529e-02,4.9107749999659118e+00,5.0000000000000000e+00,0,0,0
17,2212,9.4088890688795543e-02,-2.6218864785817985e-02,4.9102042224121689e+00,5.0000000000000000e+00,0,0,0
18,2212,-1.3597856107933057e-02,-9.3510854321917025e-02,4.9102664359940036e+00,5.0000000000000000e+00,0,0,0
19,2212,4.5611035600014199e-02,2.8651941973374926e-02,4.9108802015187303e+00,5.0000000000000000e+00,0,0,0
20,2212,1.5097794013016344e-02,6.5265937670343735e-02,4.9107186915982011e+00,5.0000000000000000e+00,0,0,0
21,2212,7.3130040597223309e-03,8.2172813261138455e-02,4.9104826445827472e+00,5.0000000000000000e+00,0,0,0
22,2212,9.3882764864369153e-02,-1.8102855956634199e-03,4.9102778336203627e+00,5.0000000000000000e+00,0,0,0
23,2212,4.5938035838761944e-02,-7.8313855315335107e-02,4.9103362706585507e+00,5.0000000000000000e+00,0,0,0
24,2212,-4.3270371185581712e-02,6.7969025521530751e-02,4.9105145901995968e+00,5.0000000000000000e+00,0,0,0
25,2212,-3.1113991560452574e-03,5.3735946955443939e-02,4.9108806156550058e+00,5.0000000000000000e+00,0,0,0
26,2212,6.9051189263566376e-02,1.7967173347782545e-02,4.9106572643546587e+00,5.0000000000000000e+00,0,0,0
27,2212,3.9245603146411456e-02,1.6995023328914546e-02,4.9109893713824837e+00,5.0000000000000000e+00,0,0,0
28,2212,-3.4018445603648307e-03,4.2590489596226716e-02,4.9109897303563503e+00,5.0000000000000000e+00,0,0,0
29,2212,-6.8604950313140692e-02,5.3058401866098857e-02,4.9104097406224607e+00,5.0000000000000000e+00,0,0,0
30,2212,7.5377298244185292e-02,-5.1490412795886231e-02,4.9103271433088365e+00,5.0000000000000000e+00,0,0,0
31,2212,-2.8484585088011632e-02,7.7297842847141682e-02,4.9104846324899070e+00,5.0000000000000000e+00,0,0,0
32,2212,-3.1428860520804389e-02,-1.3906328761962879e-02,4.9110553341173757e+00,5.0000000000000000e+00,0,0,0
33,2212,5.6082541690380110e-03,6.7538054936377587e-02,4.9107079746851756e+00,5.0000000000000000e+00,0,0,0
34,2212,5.1491204386284406e-02,3.8365430133563777e-02,4.9107557874178100e+00,5.0000000000000000e+00,0,0,0
35,2212,-3.3472619594952437e-02,-5.9265537651277149e-03,4.9110579424105678e+00,5.0000000000000000e+00,0,0,0
36,2212,-4.0383861527904158e-02,2.7963130721843234e-02,4.9109299385212504e+00,5.0000000000000000e+00,0,0,0
37,2212,2.2410913002230467e-02,3.2146911548737285e-02,4.9110192405520348e+00,5.0000000000000000e+00,0,0,0
38,2212,-3.5622524324648762e-02,3.5116209037390163e-02,4.9109208445707591e+00,5.0000000000000000e+00,0,0,0
39,2212,7.8135767878346030e-02,1.5869572434635111e-02,4.9105283435150646e+00,5.0000000000000000e+00,0,0,0
40,2212,4.5370883990707565e-02,-3.8610468666718092e-02,4.9108142266442165e+00,5.0000000000000000e+00,0,0,0
41,2212,3.9849885879730020e-02,-7.0764781458096324e-02,4.9105040460543927e+00,5.0000000000000000e+00,0,0,0
42,2212,-1.8952012237032200e-02,-5.8058967598755964e-02,4.9107958246632011e+00,5.0000000000000000e+00,0,0,0
43,2212,-5.8459143405989004e-02,3.8718230298998610e-02,4.9106750127870153e+00,5.0000000000000000e+00,0,0,0
44,2212,6.0804078824277255e-02,-7.4595288905425924e-02,4.9102325872495536e+00,5.0000000000000000e+00,0,0,0
45,2212,-3.4969957071570704e-02,5.3692701867906756e-02,4.9107575637455909e+00,5.0000000000000000e+00,0,0,0
46,2212,-3.2816042396517052e-02,-5.2028749015759178e-02,4.9107903407347058e+00,5.0000000000000000e+00,0,0,0
47,2212,1.5882959227164217e-02,-2.7494913919964562e-02,4.9110729393209702e+00,5.0000000000000000e+00,0,0,0
48,2212,8.3151020204013576e-02,-3.9632832593598781e-02,4.9103116805795164e+00,5.0000000000000000e+00,0,0,0
49,2212,6.7700310675104217e-04,-6.4082095482486293e-02,4.9107574447045712e+00,5.0000000000000000e+00,0,0,0
50,2212,3.1484276177130156e-02,-2.5356826539855229e-02,4.9110092064378614e+00,5.0000000000000000e+00,0,0,0
51,2212,-8.4539672805033217e-02,-1.0250318262052390e-02,4.9104372136005914e+00,5.0000000000000000e+00,0,0,0
52,2212,1.4234887914206197e-02,6.3254692763522927e-02,4.9107475872646376e+00,5.0000000000000000e+00,0,0,0
53,2212,3.1067403577386597e-02,-5.8689672659172847e-02,4.9107266257422761e+00,5.0000000000000000e+00,0,0,0
54,2212,-1.9004896515021207e-02,-6.9520105274035557e-02,4.9106467418138662e+00,5.0000000000000000e+00,0,0,0
55,2212,-8.2740979548939914e-02,-2.5448660139771154e-02,4.9104126048649279e+00,5.0000000000000000e+00,0,0,0
56,2212,-1.8236707182996470e-02,-2.7862229218637759e-02,4.9110626928099883e+00,5.0000000000000000e+00,0,0,0
57,2212,1.9811518034744333e-02,-2.7296714871051626e-02,4.9110597682299089e+00,5.0000000000000000e+00,0,0,0
58,2212,-2.3096440465592685e-02,-1.4303732212711015e-02,4.9111004481377289e+00,5.0000000000000000e+00,0,0,0
59,2212,4.7855178945853151e-02,-2.7228470544529086e-02,4.9108669444667168e+00,5.0000000000000000e+00,0,0,0
60,2212,-1.5585749105599688e-02,2.2120429873660020e-02,4.9111010399932740e+00,5.0000000000000000e+00,0,0,0
61,2212,2.8045022484127713e-02,1.4476937646509053e-02,4.9110741746593725e+00,5.0000000000000000e+00,0,0,0
62,2212,-2.2403292284563697e-02,-5.4552745656890916e-02,4.9108214938492836e+00,5.0000000000000000e+00,0,0,0
63,2212,5.6605457041108767e-02,2.2937545041378241e-02,4.9107957955179362e+00,5.0000000000000000e+00,0,0,0
64,2212,-1.8183905278047498e-03,-8.3884091126507937e-02,4.9104588183516791e+00,5.0000000000000000e+00,0,0,0
65,2212,4.6986883477773897e-02,-4.5198163716082707e-02,4.9107428168041682e+00,5.0000000000000000e+00,0,0,0
66,2212,3.2779160979070111e-02,1.2663787980206984e-03,4.9110660326355058e+00,5.0000000000000000e+00,0,0,0
67,2212,-5.1460577064129737e-02,-4.4530812254129894e-02,4.9107040706790928e+00,5.0000000000000000e+00,0,0,0
68,2212,1.5163735817640833e-02,9.4203108241260963e-02,4.9102486178939797e+00,5.0000000000000000e+00,0,0,0
69,2212,2.5847404946278275e-02,1.7387383861593143e-02,4.9110767907411095e+00,5.0000000000000000e+00,0,0,0
70,2212,-6.9063763097341468e-02,5.8990426994282953e-02,4.9103356280569930e+00,5.0000000000000000e+00,0,0,0
71,2212,-7.1453034888453700e-03,-4.0310947712306061e-02,4.9110049507354994e+00,5.0000000000000000e+00,0,0,0
72,2212,1.4175324865944408e-02,-3.3975998775481027e-02,4.9110376037745986e+00,5.0000000000000000e+00,0,0,0
73,2212,-5.9064116930393984e-02,-5.2492409153448938e-02,4.9105398512880942e+00,5.0000000000000000e+00,0,0,0
74,2212,9.3517872788527176e-02,2.4471925488027610e-03,4.9102845205480437e+00,5.0000000000000000e+00,0,0,0
75,2212,-1.3829107974573132e-02,-2.6745033689372415e-02,4.9110832932217283e+00,5.0000000000000000e+00,0,0,0
76,2212,-7.4585577585713977e-02,-4.0383052819867087e-02,4.9104431423932757e+00,5.0000000000000000e+00,0,0,0
77,2212,-1.0798268675474595e-03,-7.7519094351066659e-02,4.9105636415793370e+00,5.0000000000000000e+00,0,0,0
78,2212,-5.7959187159898659e-02,8.6564034122791310e-03,4.9108259441075415e+00,5.0000000000000000e+00,0,0,0
